"Details
Project",Street,City,State,Zip
10-11124-21,4910 N 177th Street  ,Elkhorn,NE,68116
10-11124-22,  ,Elkhorn,NE,68116
10-11124-23,4910 North 177th Street  ,Elkhorn,NE,68116
10-11124-30,17801 Grand Avenue  ,Omaha,NE,68116
10-11124-31,  ,Elkhorn,NE,68116
10-11124-32,  ,Elkhorn,NE,68116
10-11124-40,  ,Elkhorn,NE,68022
10-11124-50,1401 Veterans Drive  ,Elkhorn,NE,68022
10-11124-60,  ,Elkhorn,NE,68022
10-11124-70,  ,Elkhorn,NE,68116
10-11125-00,  ,Ralston,NE,68127
10-11126-01,  ,Bellevue,NE,68005
10-11126-02,  ,Bellevue,NE,68005
10-11126-10,  ,Bellevue,NE,68005
10-11126-12,  ,Bellevue,NE,68005
10-11127-00,  ,White Clay,NE,69365
10-11128-00,  ,Minden,NE,68959
10-11128-01,  ,Minden,NE,68959
10-11129-01,12th & Jackson  ,Omaha,NE,68102
10-11129-02,12th & Jackson  ,Omaha,NE,68102
10-11129-03,12th & Jackson  ,Omaha,NE,68102
10-11130-00,@ Hillside  ,Omaha,NE,68114
10-11130-01,@Hillside  ,Omaha,NE,68114
10-11131-00,1601 Leavenworth Street  ,Omaha,NE,68102
10-11131-10,1601 Leavenworth Street  ,Omaha,NE,68102
10-11132-00,  ,Omaha,NE,68178
10-11133-01,  ,Bennington,NE,68007
10-11134-00,  ,Lincoln,NE,68588
10-11134-10,  ,Omaha,NE,68182
10-11134-15,  ,Omaha,NE,68182
10-11134-20,  ,Omaha,NE,68182
10-11134-25,  ,Omaha,NE,68182
10-11134-30,UNO Pacific Campus 1110 South 67th Street ,Omaha,NE,68182
10-11134-35,  ,Omaha,NE,68182
10-11135-01,  ,Omaha,NE,68102
10-11136-01,  ,Valley,NE,68064
10-11205-00,  ,Lincoln,NE,68588
10-11205-10,  ,Lincoln,NE,68588
10-11206-00,Memorial Stadium One Memorial Drive ,Lincoln,NE,68588
10-11206-10,  ,Lincoln,NE,68588
10-11206-11,  ,Lincoln,NE,68588
10-11207-00,  ,Beatrice,NE,68310
10-11207-01,  ,Beatrice,NE,68310
10-11208-00,Pacific Plaza 703 South Webb Road ,Grand Island,NE,68801
10-11208-01,Pacific Plaza 703 South Webb Road ,Grand Island,NE,68801
10-11208-02,Pacific Plaza 703 South Webb Road ,Grand Island,NE,68801
10-11208-03,Pacific Plaza 703 South Webb Road ,Grand Island,NE,68801
10-11208-04,Pacific Plaza 703 South Webb Road ,Grand Island,NE,68801
10-11208-10,  ,Grand Island,NE,68801
10-11209-00,  ,Lincoln,NE,68508
10-11209-01,  ,Lincoln,NE,68508
10-11234-01,  ,Lincoln,NE,68588
10-11234-02,  ,Lincoln,NE,68588
10-11234-03,  ,Lincoln,NE,68588
10-11234-05,  ,Lincoln,NE,68588
10-11234-06,  ,Lincoln,NE,68588
10-11234-07,  ,Lincoln,NE,68588
10-11234-08,  ,Lincoln,NE,68588
10-11234-10,  ,Lincoln,NE,68588
10-11234-20,  ,Lincoln,NE,68588
10-11234-30,  ,Lincoln,NE,68588
10-11234-40,  ,Lincoln,NE,
10-11235-00,  ,Lincoln,NE,68583
10-11236-00,  ,Lincoln,NE,68588
10-12101-00,  ,Omaha,NE,68130
10-12101-10,  ,Elkhorn,NE,68022
10-12101-20,  ,Omaha,NE,68154
10-12101-30,  ,Omaha,NE,68144
10-12101-40,  ,Gretna,NE,68028
10-12101-50,  ,Ralston,NE,68127
10-12101-70,  ,Omaha,NE,68102
10-12101-80,  ,Omaha,NE,
10-12102-01,  ,Blair,NE,68008
10-12102-10,  ,Blair,NE,68008
10-12102-21,  ,Blair,NE,68008
10-12103-00,  ,Omaha,NE,68107
10-12103-03,  ,Omaha,NE,68107
10-12104-00,Norris Public School Campus 25211 South 68th Street ,Firth,NE,68358
10-12104-01,  ,Firth,NE,68358
10-12104-02,  ,Firth,NE,68358
10-12104-03,  ,Firth,NE,68358
10-12104-04,  ,Firth,NE,68358
10-12104-05,  ,Firth,NE,68358
10-12104-06,  ,Norris,NE,68358
10-12104-10,  ,Firth,NE,68358
10-12104-11,  ,Firth,NE,68358
10-12104-13,  ,Firth,NE,68358
10-12104-20,  ,Firth,NE,68358
10-12104-30,25211 South 68th Street  ,Firth,NE,68358
10-12105-00,Edgewood Office 5936 Vandervoort Drive ,Lincoln,NE,68516-2305
10-12105-01,Edgewood Office 5936 Vandervoort Drive ,Lincoln,NE,68516-2305
10-12106-00,One Valmont Plaza  ,Omaha,NE,68154
10-12106-01,One Valmont Plaza  ,Omaha,NE,68154
10-12106-02,One Valmont Plaza  ,Omaha,NE,68154
10-12106-03,One Valmont Plaza  ,Omaha,NE,68154
10-12106-04,One Valmont Plaza  ,Omaha,NE,68154
10-12107-01,  ,Oakland,NE,68045
10-12107-10,  ,Oakland,NE,68045
10-12107-11,  ,Oakland,NE,68045
10-12108-00,  ,Omaha,NE,68127
10-12108-01,  ,Omaha,NE,68127
10-12108-02,  ,Ralston,NE,68127
10-12108-03,  ,Ralston,NE,68127
10-12108-04,  ,Ralston,NE,68127
10-12108-05,  ,Ralston,NE,68127
10-12108-06,  ,Ralston,NE,68127
10-12108-07,  ,Ralston,NE,68127
10-12108-08,  ,Ralston,NE,68127
10-12109-00,20650 Glenn Street  ,Elkhorn,NE,68022
10-12109-01,20650 Glenn Street  ,Elkhorn,NE,68022
10-12109-02,20650 Glenn Street  ,Elkhorn,NE,68022
10-12110-00,3131 South 156th Street  ,Omaha,NE,68130
10-12111-00,  ,Omaha,NE,68182
10-12111-10,  ,Omaha,NE,68182
10-12111-20,  ,Omaha,NE,68182
10-12111-30,  ,Omaha,NE,68182
10-12111-40,  ,Omaha,NE,68182
10-12111-50,  ,Omaha,NE,68182
10-12111-60,  ,Omaha,NE,68182
10-12112-00,  ,Ralston,NE,68127
10-12112-10,  ,Ralston,NE,68127
10-12113-00,  ,Omaha,NE,68154
10-12113-01,114th & Dodge Streets  ,Omaha,NE,68154
10-12114-00,  ,Omaha,NE,00000
10-12115-00,  ,La Vista,NE,68128
10-12115-03,  ,La Vista,NE,68128
10-12115-04,  ,La Vista,NE,68128
10-12115-05,  ,La Vista,NE,68128
10-12116-01,  ,Bellevue,NE,68128
10-12117-01,  ,Seward,NE,68434
10-12117-10,  ,Seward,NE,68434
10-12118-01,  ,Crete,NE,68333
10-12118-03,  ,Crete,NE,68333
10-12118-04,  ,Crete,NE,68333
10-12118-05,  ,Crete,NE,68333
10-12118-10,  ,Crete,NE,68333
10-12118-20,  ,Crete,NE,68333
10-12118-30,  ,Crete,NE,68333
10-12119-01,  ,Holdrege,NE,68949
10-12119-10,  ,Holdrege,NE,68949
10-12119-20,  ,Holdrege,NE,68949
10-12119-30,  ,Holdrege,NE,68949
10-12119-40,  ,Holdrege,NE,68949
10-12120-00,13616 California Street  ,Omaha,NE,68154
10-12120-01,  ,Omaha,NE,68154
10-12120-02,  ,Omaha,NE,68154
10-12120-03,  ,Omaha,NE,68154
10-12121-00,13401 Amberly Road PO Box 426 ,Waverly,NE,68462
10-12121-01,  ,Waverly,NE,68462
10-12121-02,  ,Waverly,NE,68462
10-12121-05,  ,Waverly,NE,68462
10-12121-10,  ,Waverly,NE,68462
10-12122-00,  ,Lincoln,NE,68508
10-12122-01,  ,Lincoln,NE,68508
10-12123-01,  ,Peru,NE,68421
10-12124-00,  ,Omaha,NE,68106
10-12125-00,42210 South 52nd Street  ,Omaha,NE,68117
10-12201-00,  ,Cozad,NE,69130
10-12202-00,  ,Lincoln,NE,68583
10-12202-01,  ,Lincoln,NE,68583
10-12202-02,  ,Lincoln,NE,68583
10-12202-03,  ,Lincoln,NE,68503
10-12203-00,"5533 South 27th Street,  Suite G  ",Lincoln,NE,68509
10-12204-00,  ,Lincoln,NE,68528
10-12205-00,  ,Lincoln,NE,68516
10-12205-01,  ,Lincoln,NE,68516
10-12205-03,  ,Lincoln,NE,68516
10-12205-10,  ,Lincoln,NE,68516
10-12206-01,"1339 ""O"" Street  ",Lincoln,NE,68508
10-12207-00,"10250 Regency Circle, Suite 525  ",Omaha,NE,68114
10-12208-10,  ,Grand Island,NE,68803
10-12208-20,  ,Grand Island,NE,68803
10-13101-00,  ,Omaha,NE,68104
10-13101-40,  ,Omaha,NE,68134
10-13101-41,  ,Omaha,NE,68134
10-13102-03,  ,Omaha,NE,68102
10-13102-13,  ,Omaha,NE,68102
10-13102-23,  ,Omaha,NE,68102
10-13102-33,  ,Omaha,NE,68102
10-13102-43,  ,Omaha,NE,68102
10-13102-53,  ,Omaha,NE,68102
10-13102-63,  ,Omaha,NE,68102
10-13102-73,  ,Omaha,NE,68102
10-13102-83,  ,Omaha,NE,68102
10-13102-84,  ,Omaha,NE,68102
10-13102-85,  ,Omaha,NE,68102
10-13102-86,  ,Omaha,NE,68102'
10-13102-87,  ,Omaha,NE,68102
10-13103-01,  ,Tekamah,NE,68061
10-13103-02,  ,Tekamah,NE,68061
10-13104-01,  ,elkhorn,NE,68022
10-13104-02,  ,Elkhorn,NE,68022
10-13104-05,  ,Elkhorn,NE,
10-13104-10,  ,Elkhorn,NE,68130
10-13104-11,  ,Elkhorn,NE,68130
10-13104-12,  ,Elkhorn,NE,
10-13104-21,  ,Elkhorn,NE,
10-13104-30,  ,Elkhorn,NE,68022
10-13104-31,  ,Elkhorn,NE,68022
10-13104-40,  ,Elkhorn,NE,68022
10-13104-50,  ,Elkhorn,NE,68022
10-13104-60,  ,Elkhorn,NE,68022
10-13104-70,  ,Elkhorn,NE,68022
10-13104-71,  ,Elkhorn,NE,
10-13104-72,  ,Elkhorn,NE,
10-13104-73,  ,Elkhorn,NE,
10-13104-81,  ,Elkhorn,NE,68022
10-13104-82,  ,Elkhorn,NE,
10-13104-83,  ,Elkhorn,NE,68022
10-13104-90,  ,Elkhorn,NE,
10-13104-91,  ,Elkhorn,NE,
10-13104-92,  ,Elkhorn,NE,68022
10-13104-93,  ,Omaha,NE,68022
10-13104-95,  ,Elklhorn,NE,68022
10-13104-96,  ,Elkhorn,NE,68022
10-13105-01,  ,Omaha,NE,68137
10-13106-03,  ,Ogallala,NE,69153
10-13106-04,  ,Ogallala,NE,69153
10-13107-00,  ,Omaha,NE,68102
10-13107-03,  ,Omaha,NE,68102
10-13107-04,  ,Omaha,NE,68102
10-13107-14,  ,Omaha,NE,68102
10-13108-01,  ,Blair,NE,68008
10-13109-00,  ,Omaha,NE,68154
10-13109-01,  ,Omaha,NE,68154
10-13109-02,  ,Omaha,NE,68154
10-13109-03,  ,Omaha,NE,68154
10-13110-00,18414 Summit Drive  ,Gretna,NE,68028
10-13110-01,  ,Gretna,NE,68028
10-13110-02,  ,Gretna,NE,68028
10-13110-03,  ,Gretna,NE,68028
10-13110-04,  ,Gretna,NE,68028
10-13110-11,  ,Gretna,NE,68028
10-13110-12,  ,Gretna,NE,68028
10-13110-21,  ,Gretna,NE,68028
10-13110-30,  ,Gretna,NE,68028
10-13110-31,  ,Gretna,NE,68028
10-13110-40,  ,Gretna,NE,68028
10-13110-41,  ,Gretna,NE,68028
10-13110-50,  ,Gretna,NE,68028
10-13110-60,  ,Gretna,NE,68028
10-13110-61,  ,Gretna,NE,68028
10-13110-62,  ,Gretna,NE,68028
10-13110-70,  ,Gretna,NE,68028
10-13110-71,  ,Gretna,NE,68028
10-13110-72,  ,Gretna,NE,68028
10-13110-80,11335 South 204th Street  ,Gretna,NE,68028
10-13110-81,  ,Gretna,NE,68028
10-13110-82,  ,Gretna,NE,68028
10-13110-92,11705 South 216th Street  ,Gretna,NE,68028
10-13110-94,801 South Street  ,Gretna,NE,68028
10-13110-95,  ,Gretna,NE,68028
10-13110-96,  ,Gretna,NE,68028
10-13110-97,  ,Gretna,NE,68028
10-13111-01,PO Box 17 410 20th Street ,Gothenburg,NE,68138
10-13112-00,  ,Millard,NE,68135
10-13113-00,2702 W 11th St  ,Kearney,NE,68845
10-13113-01,  ,Kearney,NE,68845
10-13113-02,  ,Kearney,NE,68845
10-13113-03,  ,Kearney,NE,68845
10-13113-04,  ,Kearney,NE,68845
10-13113-05,  ,Kearney,NE,
10-13113-10,  ,Kearney,NE,68845
10-13113-20,  ,Kearney,NE,68845
10-13113-21,  ,Kearney,NE,68845
10-13113-22,  ,Kearney,NE,68845
10-13113-23,  ,Kearney,NE,68845
10-13113-24,  ,Kearney,NE,68845
10-13113-30,  ,Kearney,NE,68847
10-13113-40,  ,Kearney,NE,
10-13114-00,  ,Omaha,NE,68106
10-13115-00,  ,Lincoln,NE,
10-13115-10,  ,Lincoln,NE,
10-13116-00,  ,Omaha,NE,
10-13117-01,  ,Omaha,NE,68114
10-13118-10,  ,Malcolm,NE,68402
10-13118-11,  ,Malcolm,NE,68134
10-13119-01,4211 South 102nd Street  ,Omaha,NE,68127
10-13120-00,  ,Papillion,NE,68046
10-13121-00,  ,Omaha,NE,68154
10-13121-10,  ,Omaha,NE,68154
10-13121-20,  ,Omaha,NE,68154
10-13121-30,  ,Omaha,NE,
10-13122-01,  ,Omaha,NE,68144
10-13122-30,180th & West Dodge Road  ,Omaha,NE,
10-13123-00,  ,Omaha,NE,68124
10-13124-00,  ,Millard,NE,68136
10-13125-00,  ,Springfield,NE,
10-13125-01,  ,Springfield,NE,68059
10-13125-02,  ,Springfield,NE,68059
10-13125-04,  ,Springfield,NE,
10-13125-11,  ,Omaha,NE,
10-13125-30,"10438-10722, Platteview Rd  ",Springfield,NE,68059
10-13125-31,"10438-10722, Platteview Rd  ",Springfield,NE,
10-13125-32,  ,Springfield,NE,
10-13125-40,14801 South 108th Street  ,Springfield,NE,68059
10-13125-41,14801 South 108th Street  ,Springfield,NE,
10-13125-50,  ,Springfield,NE,
10-13125-51,  ,Springfield,NE,
10-13125-60,  ,Springfield,NE,
10-13125-70,  ,Springfield,NE,
10-13126-00,  ,Omaha,NE,
10-13127-00,  ,Omaha,NE,68106
10-13128-01,  ,Omaha,NE,68114
10-13129-01,  ,Omaha,NE,68114
10-13129-05,  ,Omaha,NE,68124
10-13130-00,  ,Laurel,NE,68745
10-13131-00,  ,Millard,NE,68137
10-13132-00,  ,Omaha,NE,68137
10-13132-10,  ,Omaha,NE,68154
10-13132-20,  ,Omaha,NE,68154
10-13133-00,  ,Millard,NE,68135
10-13134-07,  ,Omaha,NE,68106
10-13134-10,1919 Aksarben Drive  ,Omaha,NE,68180
10-13135-00,  ,Millard,NE,68154
10-13136-00,  ,Omaha,NE,68102
10-13137-01,  ,Omaha,NE,68124
10-13202-00,  ,Various Locations,NE,68508
10-13202-10,  ,Lincoln,NE,
10-13202-20,  ,Lincoln,NE,
10-13207-00,Public Works Site  ,Lincoln,NE,68508
10-13207-01,  ,Lincoln,NE,68508
10-13207-02,  ,Lincoln,NE,68508
10-13208-00,5740 South 57th Street  ,Lincoln,NE,68516
10-13209-00,  ,Lincoln,NE,68514
10-13209-01,  ,Lincoln,NE,68514
10-13209-02,  ,Lincoln,NE,68514
10-13209-03,  ,Lincoln,NE,68514
10-13209-04,  ,Lincoln,NE,68514
10-13209-05,  ,Lincoln,NE,68514
10-13209-10,  ,Lincoln,NE,68514
10-13209-11,  ,Lincoln,NE,68514
10-13209-20,  ,Lincoln,NE,68514
10-13209-21,  ,Lincoln,NE,68514
10-13209-22,  ,Lincoln,NE,68514
10-13209-25,  ,Lincoln,NE,68514
10-13209-30,  ,Lincoln,NE,68514
10-13209-40,  ,Lincoln,NE,68514
10-13209-50,  ,Lincoln,NE,68514
10-13209-52,  ,Lincoln,NE,68514
10-13209-60,  ,Lincoln,NE,68514
10-13209-61,  ,Lincoln,NE,68514
10-13209-70,  ,Lincoln,NE,68514
10-13210-00,  ,Beatrice,NE,68310
10-13210-01,  ,Beatrice,NE,68310
10-13211-00,"1130 ""H"" Street  ",Lincoln,NE,68508
10-13212-00,  ,Lincoln,NE,68509
10-13213-01,  ,Lincoln,NE,68512
10-14101-01,  ,Columbus,NE,68601
10-14101-02,  ,Columbus,NE,68601
10-14101-03,  ,Columbus,NE,68601
10-14101-10,  ,Columbus,NE,68601
10-14101-20,  ,Columbus,NE,68601
10-14101-30,  ,Columbus,NE,68601
10-14101-50,  ,Columbus,NE,68601
10-14102-00,  ,Lincoln,NE,68508
10-14103-00,1601 Leavenworth Street  ,Omaha,NE,68102
10-14103-10,  ,Omaha,NE,68102
10-14104-00,  ,Lincoln & Omaha,NE,68508
10-14104-10,  ,Lincoln,NE,68508
10-14104-20,  ,Omaha,NE,68180
10-14106-01,  ,Omaha,NE,68137
10-14108-01,  ,Oakland,NE,68045
10-14108-02,  ,Oakland,NE,68045
10-14109-01,  ,Sidney,NE,69162
10-14109-05,  ,Sidney,NE,69162
10-14110-00,  ,Papillion,NE,68046
10-14110-01,  ,Papillion,NE,68046
10-14111-01,  ,Lyons,NE,68038
10-14111-02,  ,Lyons,NE,68038
10-14112-01,  ,Omaha,NE,68107
10-14112-10,  ,Omaha,NE,68107
10-14112-11,  ,Omaha,NE,68107
10-14112-20,  ,Omaha,NE,68107
10-14112-30,  ,Omaha,NE,68107
10-14112-40,  ,Omaha,NE,68107
10-14112-50,  ,Omaha,NE,68107
10-14112-51,  ,Omaha,NE,68107
10-14113-00,  ,Ralston,NE,68127
10-14114-00,  ,Omaha,NE,68154
10-14114-10,  ,Omaha,NE,68154
10-14115-00,  ,Omaha,NE,68102
10-14116-01,  ,Omaha,NE,68110
10-14117-00,  ,Gretna,NE,
10-14117-01,  ,Gretna,NE,
10-14117-10,  ,Gretna,NE,
10-14117-11,  ,Gretna,NE,
10-14117-21,  ,Gretna,NE,
10-14117-31,  ,Gretna,NE,
10-14117-34,  ,Gretna,NE,
10-14117-41,  ,Gretna,NE,
10-14117-51,  ,Gretna,NE,
10-14117-61,  ,Gretna,NE,
10-14117-62,  ,Gretna,NE,
10-14117-63,  ,Gretna,NE,
10-14117-64,  ,Gretna,NE,
10-14117-65,  ,Gretna,NE,
10-14117-66,  ,Gretna,NE,
10-14117-70,  ,Gretna,NE,
10-14117-71,  ,Gretna,NE,
10-14117-72,  ,Gretna,NE,
10-14117-73,  ,Gretna,NE,
10-14118-00,  ,Raymond,NE,68428
10-14119-01,  ,La Vista,NE,68138
10-14119-02,  ,La Vista,NE,68138
10-14120-00,  ,Blair,NE,68008
10-14122-01,14545 West Center Road  ,Omaha,NE,68144
10-14123-01,  ,Omaha,NE,68154
10-14124-01,5616 North L Street  ,Omaha,NE,
10-14124-02,  ,Omaha,NE,
10-14201-01,  ,Lincoln,NE,68516
10-14202-00,  ,Lincoln,NE,68588
10-14203-01,  ,Lincoln,NE,68504
10-14204-01,  ,Lincoln,NE,68508
10-14204-11,"433 ""V"" Street  ",Lincoln,NE,68508
10-14204-12,"433 ""V"" Street  ",Lincoln,NE,
10-14206-01, 18th & Cornhusker Streets ,Lincoln,NE,68508
10-14207-01,"825 ""M"" Street  ",Lincoln,NE,68508
10-14208-00,"820 ""N"" Street  ",Lincoln,NE,
10-14208-01,"820 ""N"" Street  ",Lincoln,NE,68508
10-14208-03,"820 ""N"" Street  ",Lincoln,NE,68508
10-14208-04,"820 ""N"" Street  ",Lincoln,NE,68508
10-14208-05,"820 ""N"" Street  ",Lincoln,NE,68508
10-15101-00,1090 South Adams Central Avenue (Current School)  ,Hastings,NE,68902
10-15101-02,  ,Hastings,NE,68901
10-15101-03,  ,Hastings,NE,68901
10-15101-04,  ,Hastings,NE,68901
10-15101-06,1090 South Adamis Central Avenue (Current School)  ,Hastings,NE,68902
10-15101-07,  ,Hastings,NE,68902
10-15101-08,1090 South Adamis Central Avenue (Current School)  ,Hastings,NE,68902
10-15101-09,1090 South Adamis Central Avenue (Current School)  ,Hastings,NE,68902
10-15101-10,  ,Hastings,NE,68902
10-15101-11,  ,Hastings,NE,68902
10-15101-12,  ,Hastings,NE,68902
10-15102-01,  ,Omaha,NE,
10-15102-02,124 North 20th Street  ,Omaha,NE,
10-15102-03,124 North 20th Street  ,Omaha,NE,
10-15103-00,320 North 5th Street  ,Beatrice,NE,68310
10-15103-01,  ,Beatrice,NE,68310
10-15103-02,  ,Beatrice,NE,68310
10-15103-11,  ,Beatrice,NE,
10-15104-04,  ,Minden,NE,68959
10-15105-01,  ,Waverly,NE,
10-15105-02,  ,Waverly,NE,
10-15105-04,  ,Waverly,NE,
10-15105-05,  ,Waverly,NE,
10-15105-21,  ,Waverly,NE,
10-15105-22,  ,Waverly,NE,
10-15105-40,  ,Waverly,NE,68462
10-15105-51,  ,Waverly,NE,
10-15105-52,  ,Waverly,NE,
10-15105-53,  ,Waverly,NE,
10-15105-54,  ,Waverly,NE,
10-15105-70,  ,Waverly,NE,
10-15105-80,  ,Waverly,NE,
10-15105-81,  ,Waverly,NE,
10-15105-82,  ,Waverly,NE,
10-15105-99,  ,Waverly,NE,
10-15106-00,  ,Omaha,NE,
10-15106-10,  ,Omaha,NE,
10-15108-23,  ,Waverly,NE,
10-15110-00,  ,Omaha,NE,68106
10-15112-00,Southwest Corner 168th & Bennington Road  ,Bennington,NE,68007
10-15112-10,  ,Bennington,NE,68007
10-15112-11,  ,Bennington,NE,68007
10-15112-12,  ,Bennington,NE,
10-15112-21,16610 Bennington Road  ,Bennington,NE,68007
10-15112-40,  ,Bennington,NE,68007
10-15112-99,  ,Bennington,NE,68007
10-15115-00,225 North 12th Street  ,Omaha,NE,68102
10-15116-02,8502 West Center Road  ,Omaha,NE,68124
10-15117-03,200 South 108th Avenue  ,Omaha,NE,68154-2631
10-15119-60,  ,Omaha,NE,
10-15119-70,  ,Omaha,NE,
10-15121-00,West Center  ,Omaha,NE,
