,Region,School Name,12.	What are your 5 most important concerns about the condition of the site and building(s) on your campus?  ,Top5,g.  Sensory Room,h.  Independent Learning Lab,i.  Autism Room,b.  Air conditioning,Quality Of Classrooms,Leverage Outdoor Space,Community Assembly,Overall,Perception of Environment heat,Toilet Facilities,Columns Need Repair,Air Conditioner,Paint,Leak,Roof,Ceiling,Fungus Mold,Electric,Plumbing,Fence,Gate,Pests
10,Arecibo,AGAPITO ROSARIO ROSARIO 74807,"Parking paving, Reinforce the substation, reinforce the internet, fix sidewalk, since it has rods on the outside, lighting, filtration, comejen, heater for the dining room, broken pasamons, broken children's bathrooms, bibliotexa without air.among others",park pave reinforce substation reinforce internet fix sidewalk since rod outside light filtration comejen heater din room broken pasamons break child bathroom bibliotexa without air among others,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1
11,Bayamón,AGRICOLA DE BUCARABONES	74265,"Electrical service repairs
Fence repairs
Sidewalk Repairs
Bathroom repairs
Light bulb repairs",electrical service repair fence repair sidewalk repair bathroom repair light bulb repair,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,0,0,0,0,0,0,0,1,0,1,0,0
12,Bayamón,ALEJANDRO JR CRUZ 71449,"1. CEILING PANELS AND WALLS REMOVING AT ALL TIMES.
2. LEAKS IN THE SCHOOL DINING ROOM, HALLS.
3. EXPOSED RODS IN COLUMNS AND SCHOOL ROOF
4. SEPARATION OF THE STAIRS AND RAMP FROM THE MAIN BUILDINGS.
5. UNLEVEL IN THE STRUCTURE THAT PREVENTS THE ROOM DOORS FROM CLOSING AND OPEN CORRECTLY",ceiling panel wall remove time leaks school din room hall expose rod columns school roof separation stairs ramp main building unlevel structure prevents room door close open correctly,0.0,,3.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0,0,0,1,1,1,0,0,0,0,0,0
13,Humacao,ALFONSO CASTA  MARTINEZ	31542,"Our school is over 50 years old. It has filtration problems which means that we have closed rooms, that pieces of concrete come off and there are problems with lighting. We have a substation located in an enclosed room above which there is a classroom. There are problems with bathrooms that are covered with roots and you constantly have to close them. The school has 3 levels and no ramp, which makes it difficult to meet the needs of students, teachers and anyone who cannot climb stairs. We have situations with trees that represent danger to everyone. We do not have facilities for sports, as the school field is still waiting for repairs since Hurricane Maria. We only have two gazebos for our young people.",school 0 year old filtration problem mean closed room piece concrete come problem light substation locate enclosed room classroom problem bathrooms cover root constantly close school level ramp make difficult meet needs student teacher anyone climb stair situation tree represent danger everyone facility sport school field wait repair since hurricane maria two gazebo young people,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
14,Humacao,ALFONSO DIAZ LEBRON	32979,"1. The need for a ramp for the disabled that connects both buildings.
2. Need for roof repair of the court.
3. Need for fence at the back of the school for the safety of our students and to avoid 
 entry of animals such as horses and cows.
",need ramp disable connects building need roof repair court need fence school safety student avoid entry animal horse cow,,,,3.0,3.0,1.0,3.0,3.0,4.0,4.0,0,0,0,0,1,0,0,0,0,1,0,1
15,Caguas,ALFONSO LOPEZ O'NEILL	20065,Concerns I have 5 rooms closed due to failures in the structure.  I have a building filtering. Bathrooms closed due to damage. Lots of loose wires all over the school. Lack of office and warehouse space.,concern room close due failure structure build filter bathroom close due damage lot loose wire school lack office warehouse space,,,,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
16,Ponce,ALMACIGO ALTO II 53330,"1. Continuity to Short Column Repair Plan 
2. Paving of the entrance to the school ",continuity short column repair plan pave entrance school,,,,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0
17,Arecibo,AMALIA LOPEZ DE AVILA (NUEVA)	17467,School court with pigeon poop problems....no intercom..... gates bad condition,school court pigeon poop problem intercom gate bad condition,0.0,0.0,2.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,0,0,0,0,0,0,0,0,0,0,1,1
18,Humacao,ANA DELIA FLORES SANTANA  VOC	35766,"Leaks
Accessibility 
Space (missing)
Structure
Separation of schools (PRAMI/Vocational)",leak accessibility space miss structure separation school prami vocational,,,,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
19,Humacao,ANA DELIA FLORES SANTANA  VOC	35766,"1. The current condition of the Physical Plant is well deteriorated because since Hurricane Maria no repair work has been carried out on the physical plant. The damages are: Broken roofs, leaks, broken and damned windows, deteriorated doors, lack of interior and exterior lighting.
2. The most damaged buildings are: Occupational Workshops, School Theater and Indoor Court. They lost their furniture and internal structures. Such as: Carpets, Chairs, Gavinetes, Floors, Doors and Windows.
3. There are clogged sewer systems with little drainage.
4. Green Areas that need cleaning since they have been used for deposit of Vegetative Material.
5. Lack of Light in Building B. Due to the Poor maintenance of the Substation Units, the School has Building B, the largest that houses 55 rooms.",current condition physical plant deteriorate since hurricane maria repair work carry physical plant damage break roofs leak break damned window deteriorate door lack interior exterior light damage building occupational workshop school theater indoor court lose furniture internal structure carpet chair gavinetes floor door window clog sewer system little drainage green area need clean since use deposit vegetative material lack light building b due poor maintenance substation unit school building b large house room,3.0,,,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0,0,0,1,1,0,0,0,0,0,0,0
20,Ponce,ANA VALLDEJULY (JAUCA)	52985,"The roof, empanetado is falling, in the main building, the sidewalks are cracked, the bathrooms have water problems, the lighting and the paint is deterriorada. The windows are in Poor condition.",roof empanetado fall main building sidewalk crack bathrooms water problem light paint deterriorada windows poor condition,,,,1.0,,1.0,,1.0,2.0,2.0,0,0,1,0,1,0,0,0,0,0,0,0
21,Bayamón,ANDRES C GONZALEZ	70672,"As for the dollar I have no worries. What does worry me is:
1. Short columns
2. The expansions of the school what needs to be changed because they moved with the earthquakes. 
3. The painting of the school. 
4. Broken windows in 2 rooms since Hurricanes Irma and Maria. 
5. Damaged room doors. ",dollar worry worry short column expansion school need change move earthquake paint school broken windows room since hurricane irma maria damage room door,0.0,0.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,1,0,1,0,0,0,0,0,0,0,0,0
22,Ponce,ANDRES GRILLASCA SALAS	54940,"1. Office of the Director has ASBESTOS
2. The Office needs to be relocated for added security
3. Offices for resources
4. Maintenance of green areas and general cleaning
5.The electric gate does not work and must be reinstalled for greater safety",office director asbestos office need relocate added security office resource maintenance green area general clean electric gate work must reinstall great safety,,,,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0
23,Bayamón,ANGEL G. QUINTERO 17186,"Need to correct leaks, interior and exterior painting, plastering, bars, cracked floors, cleaning roofs and drains, confiscation. Window operators, broken windows, plastic slips. Complete the cleaning of green areas, pruning of trees and repair of fences. Construction of fence in uncovered area and repair of access gates to the school campus. Escrines of the school canteen, repair of tarnished in the canteen. Repair of mixers, valves and toilets already reported without repair.
Among others.",need correct leak interior exterior paint plaster bar crack floor clean roof drain confiscation window operator break windows plastic slip complete clean green area prune tree repair fence construction fence uncovered area repair access gate school campus escrines school canteen repair tarnish canteen repair mixer valve toilet already report without repair among others,0.0,2.0,0.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0,0,1,1,1,0,0,0,1,1,1,0
24,Bayamón,ANGEL RAFAEL DIAZ COLON 12740,"1. Roof leaks
2. Painting
3. Agriculture room without light 
4. Garbage deposit 
5. Main gate repair",roof leak paint agriculture room without light garbage deposit main gate repair,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0,0,1,1,1,0,0,0,0,0,1,0
25,Ponce,ANGELA CORDERO BERNARD 55483,"Minor arrangements (student entry arrangement).
Roofs need to fix leaks.
Install ceilings in kindergarten.
Work with the ventilation of the court area.
",minor arrangement student entry arrangement roof need fix leak install ceiling kindergarten work ventilation court area,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,0,0,0,1,1,1,0,0,0,0,0,0
26,Arecibo,ANGELICA GOMEZ DE BETANCOURT	10637,"1. I do not have facilities for the Physical Education class.
2. I had one room removed and now I have one less room.
3. I do not have a suitable space for school psychology.
4. The rooms do not have adequate ventilation since the windows are rusty and many of them do not open completely (we are on the coast) and the rooms only have one door since they are divided.
5. We do not have space available to offer therapies to special education students",facility physical education class room remove less room suitable space school psychology room adequate ventilation since window rusty many open completely coast room door since divide space available offer therapies special education student,,,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
27,Ponce,ANGELICA TORO (NUEVA)	51342,"Classroom leaks
Mesh for the court 
Damaged fence 
Cistern
Bathroom equipment (1 toilet and 1 urinal",classroom leak mesh court damage fence cistern bathroom equipment toilet urinal,,,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,0,0,0,1,0,0,0,0,1,1,0,0
28,Humacao,ANTERA ROSADO FUENTES	33647,"1. Physical Plant - is lost when there are atmospheric phenomena. The physical plant is made up of steel beams. zinc, cement . Its divisions are Gypson Board.
2. There is no area where students can be protected when it rains. ( The way the school is built does not offer a place for them to have space to shelter in the rain and in the lunch period they are exposed to the sun. 
3. We do not have indoor court.  ",physical plant lose atmospheric phenomenon physical plant make steel beam zinc cement division gypson board area student protect rain school build offer place space shelter rain lunch period expose sun indoor court,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
29,Caguas,ANTONIO DOMINGUEZ NIEVES	26492,"The school has half closed (20 classrooms) by rusty steel columns. Harming the educational quality in all subjects but the most affected are the classrooms of occupational workshops. They are relocated with super limited space affecting the educational process and the practices of the students. Two bathrooms in use and Poor conditions for an enrollment of 320 students. The school canteen out of service, the food is made in another school. Equipment obstructing the safe passage of students. It lacks outdoor spaces in optimal conditions for the enjoyment of students. Lack of handrails on the ladder. The infrastructure of the school as a whole is in terrible condition.",school half close 0 classroom rusty steel column harm educational quality subject affect classroom occupational workshop relocate super limited space affect educational process practice student two bathroom use poor condition enrollment 0 student school canteen service food make another school equipment obstruct safe passage student lack outdoor space optimal condition enjoyment student lack handrails ladder infrastructure school whole terrible condition,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
30,Ponce,ANTONIO PAOLI	55871,"Physical damage (cracks)
Fungi 
Leaks
Painting
Maintenance ",physical damage crack fungi leak paint maintenance,,,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,0,0,1,1,0,0,0,0,0,0,0,0
31,Arecibo,ANTONIO PAOLI	71738,"Arrangement of 62 short columns and 6 walls
",arrangement short column wall,,,,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0
32,Arecibo,ANTONIO REYES	11023,"1. There are no access ramps to the second floors of 3 buildings. 
2. Roof filtration 
3. Irregularities in the ground can and have caused accidents around the entire yard. 
4. The entrance of the parking lot to the school campus is dangerous because of the decline in the land. 
5. Bleachers on the court. (Does not have)",access ramp second floor building roof filtration irregularity ground cause accident around entire yard entrance park school campus dangerous decline land bleacher court,,2.0,,2.0,0.0,2.0,3.0,3.0,4.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0
33,Humacao,ANTONIO ROSA GUZMAN (NUEVA)	35774,"THE SCHOOL HAS LAND AVAILABLE TO EXPAND AND MAKE NEW BUILDINGS FOR CLASSROOMS, OFFICES, AMONG OTHERS. THE SCHOOL STRUCTURE IS IN Good CONDITION; BUT THE SCHOOL HAS NOT BEEN PAINTED FOR A LONG TIME AND THEREFORE THE BUILDINGS INSIDE THE SCHOOL AND THE SCHOOL COURT ARE SEEN IN INAPPROPRIATE CONDITIONS. WE HAVE SPACE AVAILABLE FOR MORE PARKING LOTS TO BE BUILT, FOR SCHOOL STAFF. I WOULD BE INTERESTED IN BUILDING A REDONDEL TO FACILITATE THE ARRIVAL AND DEPARTURE OF STUDENTS; SINCE THEY ARE SMALL CHILDREN. 
SOME REPAIRS MUST BE MADE TO ENSURE THAT THE SCHOOL IS IN OPTIMAL CONDITION.",school land available expand make new building classroom office among others school structure good condition school paint long time therefore building inside school school court see inappropriate condition space available park lot build school staff interested building redondel facilitate arrival departure student since small child repair must make ensure school optimal condition,,,,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0
34,Caguas,ANTONIO S PAOLI (MUSICA)	23448,Wide cracks Office of the administration on the walls,wide crack office administration wall,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
35,Humacao,ANTONIO VALERO BERNABE	30148,"The Antonio Valero Community School of Barnabas was closed after the earthquakes as it has short columns and the structure of the school was affected.  The school has exposed rods, mothed doors and frames, broken windows, cracks in the walls, leaks and no electricity in the area where the school theater is located.  Based on the findings of two structural engineers, the safety recommendation is the closure of the school.  The goal is to rebuild a new school.  The safety of the school community is the priority.",antonio valero community school barnabas close earthquake short column structure school affect school expose rod mothed door frames broken window crack wall leak electricity area school theater locate base finding two structural engineer safety recommendation closure school goal rebuild new school safety school community priority,0.0,0.0,,1.0,2.0,1.0,0.0,2.0,2.0,3.0,1,0,0,1,0,0,0,1,0,0,0,1
36,Arecibo,APOLO SAN ANTONIO	71761,"1. Severe leaks in special Exucation building, as well as absence of air conditioners in autism room and independent living children with esoecial needs. Ineffective fungal miigacion as long as filtration continues in that building. 
2. Porto is very heavy and in Poor condition to be opened and closed by a single person. 
3. Comejen in all areas of the school, loss of furniture in science rooms by the same. It is buried, in trees and structures. Supposedly it was mitigated, it was done wrong it was not effective 
4. Filtration by the cold joints in the administrative building, Every time it rains there is a pool inside. 
5. Pigeons in pavilion and other areas, excrement and severe nesting. 
Outdoor lighting is dry fountain, urgent attention for offers of RAE and very dark night the area.",severe leak special exucation building absence air conditioner autism room independent living child esoecial need ineffective fungal miigacion long filtration continue build porto heavy poor condition open closed single person comejen area school loss furniture science room bury tree structure supposedly mitigate do wrong effective filtration cold joint administrative building every time rain pool inside pigeon pavilion area excrement severe nest outdoor light dry fountain urgent attention offer rae dark night area,,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,0,1,0,1,0,0,1,0,0,0,1,1
37,Ponce,ARISTIDES CALES QUIROS	51185,"1. THE SCHOOL HAS 5 STRUCTURES OF WHICH 4 ARE NOT IN CONDITION.
2. DUE TO EARTHQUAKES 2 OF THE STRUCTURES ACCORDING TO MY CRITERIA CAN NOT BE USED AGAIN.
3. TWO OF THE STRUCTURES AFTER THE EARTHQUAKES I UNDERSTAND THAT THEY COULD BE REPAIRED.
4. NEED FOR CONSTRUCTION OF BUILDINGS THAT CANNOT BE USED.
5. IN THE FRANCISCO RODRIGUEZ LOPEZ SCHOOL WHERE THE SCHOOL WAS LOCATED, IT DOES NOT HAVE THE NECESSARY FACILITIES FOR ALL TEACHERS, ESPECIALLY FINE ARTS TEACHERS. CONSTRUCTION OF ADDITIONAL ROOMS SINCE THE TEACHERS DO NOT HAVE A ROOM. LEAK OF THE ROOF OF THE CURRENT OFFICE",school structure condition due earthquake structure accord criterion use two structure earthquake understand repair need construction building use francisco rodriguez lopez school school locate necessary facility teacher especially fine art teacher construction additional room since teacher room leak roof current office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,1,0,0,0,0,0,0,0
38,Ponce,ARTURO LLUBERAS	53363,"1. Structure very committed to cracks and breaks of walls and columns.  
2. Very small plot for the size of the current structure. 
3. Equipment and materials are located within the school campus.  
4. School Campus has solar panels.  ",structure commit crack break wall columns small plot size current structure equipment material locate within school campus school campus solar panel,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
39,Ponce,ASUNCION RODRIGUEZ DE SALA	57125,"1. The southeast fence is broken and we have reported it since September 2017 from Hurricane Maria. And he gave and gives access to them stealing and stealing.
2. The lighting of the 11 poles in the school is damaged and reported.",southeast fence broken report since september 0 hurricane maria give give access steal steal light pole school damage report,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0
40,Ponce,AUREA E RIVERA COLLAZO	57018,"WHEN THE REPAIR PROCESS BEGINS, CONFISCATION, SHORT COLUMNS AND ALL THE REPAIR OF THE SCHOOL IN GENERAL.
I AM INTERESTED IN KEEPING ABREAST OF THE ARRANGEMENTS YOU HAVE FOR THE SCHOOL.
",repair process begin confiscation short column repair school general interested keep abreast arrangement school,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0
41,Humacao,AVELINO PEÑA REYES 35626,More room for more rooms,room room,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
42,Bayamón,BARAHONA (ELEMENTAL)	12435,"Leaks
Broken sidewalks 
Road to parking lot 
Living room closed by tremors",leak broken sidewalk road park living room close tremor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0
43,Bayamón,BASILIO MILAN HERNANDEZ	71654,"Ceiling filtration of some rooms
Pavilion filtration
Bathroom door arrangement
Toilet and urinal arrangement
Glass arrangement of broken leaves windows",ceiling filtration room pavilion filtration bathroom door arrangement toilet urinal arrangement glass arrangement break leave window,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,0,0,0,0,0,1,0,0,1,0,0,0
44,Humacao,BELEN BLANCO DE ZEQUEIRA	31120,"School court presents a lot of danger in its (urgent) sealed stucco te roof urgent (educ. Special) arrangement of detached ceiling, arrangement of drainage area library and school canteen.",school court present danger urgent seal stucco te roof urgent educ special arrangement detach ceiling arrangement drainage area library school canteen,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0
45,Arecibo,BELLAS ARTES	17343,"Leaks, lack of interior and exterior paint and the theater airs and halls do not work.",leak lack interior exterior paint theater air hall work,,,,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0,0,1,1,0,0,0,0,0,0,0,0
46,Caguas,BENIGNO CARRION	21097,"The school has three structures that were affected by Hurricane Maria. Physical education room (even with blue awning), kindergarten patio and special education rooms. The other structures require repair in some walls, divisions in halls and windows in the main building. The school does not have a handicapped ramp.",school three structure affect hurricane maria physical education room blue awning kindergarten patio special education room structure require repair wall division hall window main build school handicap ramp,0.0,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
47,Ponce,BENJAMIN FRANKLIN	50492,"The physical structures or buildings of our school need roof sealing and arrangement of two classrooms affected by Hurricane Maria that have not been worked.  Painting throughout the school campus, inside and outside.  Block fence on the lateral back part is broken and threatens to fall at any time.",physical structure building school need roof seal arrangement two classroom affect hurricane maria work paint throughout school campus inside outside block fence lateral part broken threaten fall time,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0,0,1,0,1,0,0,0,0,1,0,0
48,Bayamón,BERNARDA ROBLES DE HEVIA	71290,"We urgently need storage. 
Septic tank 
2 additional rooms 
Expand office (space for support staff)
Roof court area (inside the school)
Classroom therapies to students Special Education",urgently need storage septic tank additional room expand office space support staff roof court area inside school classroom therapy student special education,,,,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0
49,Bayamón,BERNARDO HUYKE 70409,"Preschool classrooms without bathrooms
2.Small dining room
3. Small administrative office and entrance roof is in Poor condition
4. There is no EE lounge
5. There is no faculty lounge",preschool classroom without bathroom small din room small administrative office entrance roof poor condition ee lounge faculty lounge,0.0,,,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0
50,Humacao,BERTA ZALDUONDO	33274,"1. There are electricity problems in the rooms.
2. The cement cistern does not work.
3. The steel plate that joins the buildings. It looks a little detached.
4. Leaks in the rooms.
5. Access to the ayacente plot to be able to evict the students. Create a gate on the fence that adjoins the mountain and the parking lot of the infant center.",electricity problem room cement cistern work steel plate join building look little detached leak room access ayacente plot able evict student create gate fence adjoins mountain park infant center,,,,3.0,1.0,2.0,4.0,2.0,3.0,3.0,0,0,0,1,0,0,0,1,0,1,1,0
51,Ponce,BETHZAIDA VELAZQUEZ SUPERIOR	56069,"My concern is that the structure is separate.
Engineering dropped out of school I don't know why.
Walls that move.
Floor broken and cracked.
Ramp that goes down 
Dining room was not added on budget to fix and is in Poor condition.
Broken office walls and short unfinished columns.
No water sources 
Broken toilets and sinks
Wagons where they went down and it becomes difficult to open doors.
Roof sealing, cracked broken gates
Cracked court
Loose windows and doors, as left by construction engineers",concern structure separate engineering drop school wall move floor broken crack ramp go din room add budget fix poor condition break office wall short unfinished columns water source break toilet sink wagon go becomes difficult open door roof seal crack broken gate crack court loose window door leave construction engineer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0
52,Caguas,BONIFACIO SANCHEZ JIMENEZ	27565,"1. Closed rooms
2. Conditions of some buildings 
3. Reinforce columns 
4. Roofing
5. Conditions of some stairs",closed room condition building reinforce columns roofing condition stairs,0.0,0.0,,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,0
53,Humacao,BRAULIO AYALA PEREZ	30429,"Leaks in all the ships of the school.
Damaged lamp 
Broken gates",leak ship school damage lamp break gate,2.0,,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0
54,Bayamón,CACIQUE AGÜEYBANA 70078,"Restrooms need repairs, paint for physical plant, some gaps in fences",restroom need repair paint physical plant gap fence,0.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0
