,NameFilter,RoomModelId,ProjectName,RoomId,RoomName,Name2,Cluster,Label,ClustTotal,ClustRoomTotal,ClustRoomTypePorp
35,access sleeping,943964884,KINGS COUNTY JUVENILE CENTER,943964884:1969570,ACCESS. SLEEPING ROOM,access sleeping room,38,sleeping bed,576,4,0.01
36,access sleeping,-1329471891,KINGS COUNTY JUVENILE CENTER,-1329471891:1969570,ACCESS. SLEEPING ROOM,access sleeping room,38,sleeping bed,576,4,0.01
37,accounting,-637598749,CO. OF ALAMEDA - SANTA RITA JAIL,-637598749:2268646,ACCOUNTING,accounting,-1,office officer court courts,5484,1,0.0
38,accounting,1904761374,NEW CORRECTIONAL FACILITIES LEASE,1904761374:8992390,INMATE               ACCOUNTING,inmate               accounting,-1,office officer court courts,5484,2,0.0
39,accounting,617613224,NEW CORRECTIONAL FACILITIES LEASE,617613224:8992390,INMATE               ACCOUNTING,inmate               accounting,-1,office officer court courts,5484,2,0.0
40,accounting,1904761374,NEW CORRECTIONAL FACILITIES LEASE,1904761374:8992388,INMATE          ACCOUNTING,inmate          accounting,-1,office officer court courts,5484,2,0.0
41,accounting,617613224,NEW CORRECTIONAL FACILITIES LEASE,617613224:8992388,INMATE          ACCOUNTING,inmate          accounting,-1,office officer court courts,5484,2,0.0
42,accounting,-676483167,ALABAMA PRISON PROGRAM - FACILITY 2,-676483167:8992388,INMATE ACCOUNTING,inmate accounting,-1,office officer court courts,5484,2,0.0
43,accounting,-676483167,ALABAMA PRISON PROGRAM - FACILITY 2,-676483167:8992390,INMATE ACCOUNTING,inmate accounting,-1,office officer court courts,5484,2,0.0
44,accounting clerk,1904761374,NEW CORRECTIONAL FACILITIES LEASE,1904761374:8992402,ACCOUNTING CLERK,accounting clerk,84,clerk office,66,5,0.08
45,accounting clerk,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3458690,ACCOUNTING CLERK,accounting clerk,84,clerk office,66,5,0.08
46,accounting clerk,617613224,NEW CORRECTIONAL FACILITIES LEASE,617613224:8992402,ACCOUNTING CLERK,accounting clerk,84,clerk office,66,5,0.08
47,accounting clerk,-907561306,,-907561306:3458690,ACCOUNTING CLERK,accounting clerk,84,clerk office,66,5,0.08
48,accounting clerk,-676483167,ALABAMA PRISON PROGRAM - FACILITY 2,-676483167:8992402,ACCOUNTING CLERK,accounting clerk,84,clerk office,66,5,0.08
49,active files,-637598749,CO. OF ALAMEDA - SANTA RITA JAIL,-637598749:2128267,ACTIVE FILES,active files,54,files file stor,304,1,0.0
50,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3946538,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
51,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3698329,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
52,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3741886,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
53,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3631485,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
54,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3747041,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
55,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3940012,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
56,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3527763,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
57,active record storage,-1092324989,JOSEPH WEIS FEDERAL COURTHOUSE,-1092324989:3752191,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
58,active record storage,-1092324989,,-1092324989:3747041,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
59,active record storage,-1092324989,,-1092324989:3752191,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
60,active record storage,-1092324989,,-1092324989:3527763,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
61,active record storage,-1092324989,,-1092324989:3741886,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
62,active record storage,-1092324989,,-1092324989:3940012,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
63,active record storage,-1092324989,,-1092324989:3631485,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
64,active record storage,-1092324989,,-1092324989:3698329,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
65,active record storage,-1092324989,,-1092324989:3946538,ACTIVE RECORD STORAGE,active record storage,46,storage record records,865,16,0.02
66,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493329,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
67,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493275,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
68,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493311,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
69,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493266,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
70,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493347,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
71,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493284,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
72,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493338,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
73,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493356,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
74,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6492713,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
75,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493293,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
76,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493302,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
77,activity,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6493320,ACTIVITY,activity,-1,office officer court courts,5484,12,0.0
78,acute dayroom,-222974280,ECHO GLEN CHILDREN'S CENTER,-222974280:3133321,ACUTE DAYROOM,acute dayroom,-1,office officer court courts,5484,1,0.0
79,acute hallway,-222974280,ECHO GLEN CHILDREN'S CENTER,-222974280:3133324,ACUTE HALLWAY,acute hallway,-1,office officer court courts,5484,1,0.0
80,acute patio,-222974280,ECHO GLEN CHILDREN'S CENTER,-222974280:3760585,ACUTE PATIO,acute patio,23,roof terrace,42,1,0.02
81,acute restroom,-222974280,ECHO GLEN CHILDREN'S CENTER,-222974280:3133327,ACUTE RESTROOM,acute restroom,30,restroom unisex,122,1,0.01
82,add storage,740797837,,740797837:5664286,ADD STORAGE,add storage,46,storage record records,865,6,0.01
83,add storage,740797837,,740797837:5691337,ADD STORAGE,add storage,46,storage record records,865,6,0.01
84,add storage,740797837,Cheatham County Jail Expansion and Renovation,740797837:5691337,ADD STORAGE,add storage,46,storage record records,865,6,0.01
85,add storage,740797837,Cheatham County Jail Expansion and Renovation,740797837:5664286,ADD STORAGE,add storage,46,storage record records,865,6,0.01
86,add storage,740797837,,740797837:5691337,ADD STORAGE,add storage,46,storage record records,865,6,0.01
87,add storage,740797837,,740797837:5664286,ADD STORAGE,add storage,46,storage record records,865,6,0.01
88,admin,900551144,YAVAPAI COUNTY CRIMINAL JUSTICE CENTER,900551144:3452370,ADMIN,admin,51,admin administrator administration,181,26,0.14
89,admin,900551144,YAVAPAI COUNTY CRIMINAL JUSTICE CENTER,900551144:3101738,ADMIN,admin,51,admin administrator administration,181,26,0.14
90,admin,900551144,YAVAPAI COUNTY CRIMINAL JUSTICE CENTER,900551144:3452362,ADMIN,admin,51,admin administrator administration,181,26,0.14
91,admin,-1610523404,SANTA RITA JAIL SB863 HEALTH PROGRAM SERVICES UNIT,-1610523404:2364587,ADMIN,admin,51,admin administrator administration,181,26,0.14
92,admin,-1329471891,KINGS COUNTY JUVENILE CENTER,-1329471891:7437438,ADMIN,admin,51,admin administrator administration,181,26,0.14
93,admin,2104154140,KINGS COUNTY JUVENILE CENTER,2104154140:2942497,ADMIN,admin,51,admin administrator administration,181,26,0.14
94,admin,943964884,KINGS COUNTY JUVENILE CENTER,943964884:1971965,ADMIN,admin,51,admin administrator administration,181,26,0.14
95,admin,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3458700,ADMIN,admin,51,admin administrator administration,181,26,0.14
96,admin,-1329471891,KINGS COUNTY JUVENILE CENTER,-1329471891:7442902,ADMIN,admin,51,admin administrator administration,181,26,0.14
97,admin,-1329471891,KINGS COUNTY JUVENILE CENTER,-1329471891:1971965,ADMIN,admin,51,admin administrator administration,181,26,0.14
98,admin,900551144,,900551144:3452370,ADMIN,admin,51,admin administrator administration,181,26,0.14
99,admin,2104154140,KINGS COUNTY JUVENILE CENTER,2104154140:1971965,ADMIN,admin,51,admin administrator administration,181,26,0.14
100,admin,943964884,KINGS COUNTY JUVENILE CENTER,943964884:3740649,ADMIN,admin,51,admin administrator administration,181,26,0.14
101,admin,-1969737280,KINGS COUNTY JUVENILE CENTER,-1969737280:3740649,ADMIN,admin,51,admin administrator administration,181,26,0.14
102,admin,943964884,KINGS COUNTY JUVENILE CENTER,943964884:7442902,ADMIN,admin,51,admin administrator administration,181,26,0.14
103,admin,900551144,,900551144:3101738,ADMIN,admin,51,admin administrator administration,181,26,0.14
104,admin,1282913660,JOINT REGIONAL CONFINEMENT FACILITY,1282913660:3266230,INSIDE ADMIN,inside admin,51,admin administrator administration,181,1,0.01
105,admin,-1329471891,KINGS COUNTY JUVENILE CENTER,-1329471891:3740649,ADMIN,admin,51,admin administrator administration,181,26,0.14
106,admin,-1969737280,KINGS COUNTY JUVENILE CENTER,-1969737280:1971965,ADMIN,admin,51,admin administrator administration,181,26,0.14
107,admin,2104154140,KINGS COUNTY JUVENILE CENTER,2104154140:3740649,ADMIN,admin,51,admin administrator administration,181,26,0.14
108,admin,-1969737280,KINGS COUNTY JUVENILE CENTER,-1969737280:2942497,ADMIN,admin,51,admin administrator administration,181,26,0.14
109,admin,900551144,,900551144:3452362,ADMIN,admin,51,admin administrator administration,181,26,0.14
110,admin,943964884,KINGS COUNTY JUVENILE CENTER,943964884:7437438,ADMIN,admin,51,admin administrator administration,181,26,0.14
111,admin,-637598749,CO. OF ALAMEDA - SANTA RITA JAIL,-637598749:2107077,ADMIN,admin,51,admin administrator administration,181,26,0.14
112,admin,-1610523404,,-1610523404:2364587,ADMIN,admin,51,admin administrator administration,181,26,0.14
113,admin,-907561306,,-907561306:3458700,ADMIN,admin,51,admin administrator administration,181,26,0.14
114,admin,-481077194,TOWNEPLACE SUITES - NASHVILLE,-481077194:4101923,ADMIN,admin,51,admin administrator administration,181,26,0.14
115,admin afe,-32599202,SQUADRON OPERATIONS,-32599202:2193833,AFE ADMIN,afe admin,51,admin administrator administration,181,1,0.01
116,admin assist,-1204178661,,-1204178661:1427358,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
117,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3611172,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
118,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:2916327,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
119,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3611150,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
120,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:2930739,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
121,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3611174,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
122,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3611155,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
123,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3611153,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
124,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:3611144,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
125,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:2930727,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
126,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:2930736,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
127,admin assist,-907561306,NEW CORRECTIONAL FACILITIES LEASE,-907561306:2914513,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
128,admin assist,-1204178661,,-1204178661:1427358,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
129,admin assist,-907561306,,-907561306:3611153,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
130,admin assist,-907561306,,-907561306:2914513,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
131,admin assist,-907561306,,-907561306:2916327,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
132,admin assist,-907561306,,-907561306:2930739,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
133,admin assist,-907561306,,-907561306:3611172,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
134,admin assist,-907561306,,-907561306:3611150,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
135,admin assist,-907561306,,-907561306:3611155,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
136,admin assist,-907561306,,-907561306:2930727,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
137,admin assist,-907561306,,-907561306:3611174,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
138,admin assist,-907561306,,-907561306:2930736,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
139,admin assist,-907561306,,-907561306:3611144,ADMIN ASSIST,admin assist,51,admin administrator administration,181,24,0.13
140,admin assistants,1932649913,,1932649913:4283392,ADMIN ASSISTANTS,admin assistants,51,admin administrator administration,181,2,0.01
141,admin assistants,1932649913,Sarpy County Correctional Center,1932649913:4283392,ADMIN ASSISTANTS,admin assistants,51,admin administrator administration,181,2,0.01
142,admin asst,1343513594,Robert W. Depke Juvenile Justice Center Expansion Phase One,1343513594:1754109,PD ADMIN ASST,pd admin asst,51,admin administrator administration,181,2,0.01
143,admin asst,135281464,4TH FLOOR MUNICIPAL COURT REMODEL,135281464:3608557,ADMIN ASST,admin asst,51,admin administrator administration,181,7,0.04
144,admin asst,135281464,4TH FLOOR MUNICIPAL COURT REMODEL,135281464:3729275,ASST ADMIN,asst admin,51,admin administrator administration,181,1,0.01
145,admin asst,1343513594,Robert W. Depke Juvenile Justice Center Expansion Phase One,1343513594:1754109,PD ADMIN ASST,pd admin asst,51,admin administrator administration,181,2,0.01
146,admin asst,570677782,,570677782:4446321,ADMIN ASST,admin asst,51,admin administrator administration,181,7,0.04
147,admin asst,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6492657,ADMIN ASST,admin asst,51,admin administrator administration,181,7,0.04
148,admin asst,570677782,,570677782:4258759,ADMIN ASST,admin asst,51,admin administrator administration,181,7,0.04
149,admin asst,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:6492655,ADMIN ASST,admin asst,51,admin administrator administration,181,7,0.04
150,admin asst,570677782,,570677782:4258759,ADMIN ASST,admin asst,51,admin administrator administration,181,7,0.04
151,admin asst,570677782,,570677782:4446321,ADMIN ASST,admin asst,51,admin administrator administration,181,7,0.04
152,admin clerks,740797837,,740797837:5176860,ADMIN CLERKS,admin clerks,51,admin administrator administration,181,6,0.03
153,admin clerks,740797837,,740797837:4203942,ADMIN CLERKS,admin clerks,51,admin administrator administration,181,6,0.03
154,admin clerks,740797837,Cheatham County Jail Expansion and Renovation,740797837:5176860,ADMIN CLERKS,admin clerks,51,admin administrator administration,181,6,0.03
155,admin clerks,740797837,Cheatham County Jail Expansion and Renovation,740797837:4203942,ADMIN CLERKS,admin clerks,51,admin administrator administration,181,6,0.03
156,admin clerks,740797837,,740797837:5176860,ADMIN CLERKS,admin clerks,51,admin administrator administration,181,6,0.03
157,admin clerks,740797837,,740797837:4203942,ADMIN CLERKS,admin clerks,51,admin administrator administration,181,6,0.03
158,admin commander,1170377201,TUKWILA JUSTICE CENTER,1170377201:1374734,ADMIN COMMANDER,admin commander,51,admin administrator administration,181,2,0.01
159,admin commander,1170377201,,1170377201:1374734,ADMIN COMMANDER,admin commander,51,admin administrator administration,181,2,0.01
160,admin court,-1204178661,,-1204178661:1488061,COURT ADMIN.,court admin,51,admin administrator administration,181,4,0.02
161,admin court,213429251,ROCK ISLAND JUSTICE CENTER,213429251:2672836,COURT ADMIN,court admin,51,admin administrator administration,181,1,0.01
162,admin court,1629769358,,1629769358:3717001,COURT ADMIN.,court admin,51,admin administrator administration,181,4,0.02
163,admin court,1629769358,,1629769358:3717001,COURT ADMIN.,court admin,51,admin administrator administration,181,4,0.02
164,admin court,-1204178661,,-1204178661:1488061,COURT ADMIN.,court admin,51,admin administrator administration,181,4,0.02
165,admin courts,-1204178661,,-1204178661:1410842,COURTS ADMIN,courts admin,51,admin administrator administration,181,2,0.01
166,admin courts,-1204178661,,-1204178661:1410842,COURTS ADMIN,courts admin,51,admin administrator administration,181,2,0.01
167,admin deputy,1790801595,SOUTH COUNTY COURT / R.L. ANDERSON RENOVATIONS,1790801595:2814311,DEPUTY ADMIN.,deputy admin,51,admin administrator administration,181,2,0.01
168,admin deputy,1790801595,,1790801595:2814311,DEPUTY ADMIN.,deputy admin,51,admin administrator administration,181,2,0.01
169,admin housing,1180051222,,1180051222:4248283,HOUSING / ADMIN SEP.,housing   admin sep,51,admin administrator administration,181,2,0.01
170,admin housing,1180051222,,1180051222:4319787,HOUSING / ADMIN SEP.,housing   admin sep,51,admin administrator administration,181,2,0.01
171,admin office,213429251,ROCK ISLAND JUSTICE CENTER,213429251:5004934,ADMIN. OFFICE,admin office,51,admin administrator administration,181,2,0.01
172,admin office,213429251,ROCK ISLAND JUSTICE CENTER,213429251:5372963,ADMIN. OFFICE,admin office,51,admin administrator administration,181,2,0.01
173,admin office,1491240179,SOUTH COUNTY DETENTION FACILITY,1491240179:1906701,ADMIN.            OFFICE,admin            office,51,admin administrator administration,181,1,0.01
174,admin office,-1320187121,BENTON COUNTY,-1320187121:4393163,CO. ADMIN. OFFICE,co admin office,51,admin administrator administration,181,1,0.01
175,admin sergeant,-1164658171,SAN BERNARDINO COUNTY SHERIFF DEPARTMENT,-1164658171:1926048,ADMIN. SERGEANT,admin sergeant,51,admin administrator administration,181,1,0.01
176,admin sgt,903426601,,903426601:4421512,ADMIN SGT,admin sgt,51,admin administrator administration,181,2,0.01
177,admin sgt,903426601,,903426601:4421512,ADMIN SGT,admin sgt,51,admin administrator administration,181,2,0.01
178,admin staff,903426601,,903426601:4429523,ADMIN / STAFF,admin   staff,51,admin administrator administration,181,6,0.03
179,admin staff,903426601,,903426601:4429526,ADMIN / STAFF,admin   staff,51,admin administrator administration,181,6,0.03
180,admin staff,903426601,,903426601:4429778,ADMIN / STAFF,admin   staff,51,admin administrator administration,181,6,0.03
181,admin staff,903426601,,903426601:4429526,ADMIN / STAFF,admin   staff,51,admin administrator administration,181,6,0.03
182,admin staff,903426601,,903426601:4429778,ADMIN / STAFF,admin   staff,51,admin administrator administration,181,6,0.03
183,admin staff,903426601,,903426601:4429523,ADMIN / STAFF,admin   staff,51,admin administrator administration,181,6,0.03
184,admin support,1932649913,,1932649913:4284519,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
185,admin support,1932649913,,1932649913:4284549,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
186,admin support,1932649913,,1932649913:4284527,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
187,admin support,1932649913,,1932649913:4284565,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
188,admin support,1932649913,,1932649913:4284557,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
189,admin support,1932649913,Sarpy County Correctional Center,1932649913:4284519,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
190,admin support,570677782,,570677782:4003373,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
191,admin support,1932649913,Sarpy County Correctional Center,1932649913:4284527,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
192,admin support,-28113849,NEW CORRECTIONAL FACILITIES LEASE,-28113849:7569550,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
193,admin support,570677782,,570677782:4445933,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
194,admin support,1932649913,Sarpy County Correctional Center,1932649913:4284549,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
195,admin support,1932649913,Sarpy County Correctional Center,1932649913:4284565,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
196,admin support,1932649913,Sarpy County Correctional Center,1932649913:4284557,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
197,admin support,570677782,,570677782:4445933,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
198,admin support,570677782,,570677782:4003373,ADMIN SUPPORT,admin support,51,admin administrator administration,181,15,0.08
199,admin workstation,1282913660,JOINT REGIONAL CONFINEMENT FACILITY,1282913660:3274089,ADMIN. WORKSTATION,admin workstation,-1,office officer court courts,5484,1,0.0
200,administration,1491240179,SOUTH COUNTY DETENTION FACILITY,1491240179:1906707,ADMINISTRATION,administration,51,admin administrator administration,181,2,0.01
201,administration,-310930202,SALEM POLICE STATION,-310930202:6080441,ADMINISTRATION,administration,51,admin administrator administration,181,2,0.01
202,administration court,1304527724,VANDERBURGH COUNTY JAIL ADDITION,1304527724:3165854,Administration Court,administration court,51,admin administrator administration,181,1,0.01
