,NameFilter,RoomModelId,ProjectName,RoomId,RoomName,Name2,Cluster,Label,Label2
17,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275784,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
18,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23278315,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
19,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23293008,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
20,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275786,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
21,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275790,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
22,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:13869954,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
23,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23324910,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
24,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23295793,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
25,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23299422,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
26,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:9855544,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
27,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275788,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
28,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275792,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
29,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23275492,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
30,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:19275780,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
31,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23327761,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
32,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23275990,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
33,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23318675,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
34,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:13869843,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
35,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:9676048,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
36,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23297078,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
37,access restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23336318,RESTROOM ACCESS,restroom access,a1,restroom restrooms toilet toilets,Restroom
38,access roof,-1449994857,MICROSOFT REDWOODS C,-1449994857:4716336,ROOF ACCESS,roof access,a-1,storage stor,Junk
39,access secure,736638996,JAYHAWK - NORTH BUILDING,736638996:1460601,SECURE ACCESS,secure access,a25,services corp service,Junk
40,access secure,736638996,JAYHAWK - NORTH BUILDING,736638996:2101554,SECURE ACCESS,secure access,a25,services corp service,Junk
41,access service,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:17817017,SERVICE ACCESS,service access,a25,services corp service,Junk
42,action pre,1910451546,SEA 140 - EMPIRE,1910451546:4600490,PRE ACTION,pre action,a-1,storage stor,Junk
43,action pre,324661123,SEA 140 - EMPIRE,324661123:6385093,PRE-ACTION,pre action,a-1,storage stor,Junk
44,action pre,324661123,SEA 140 - EMPIRE,324661123:4600490,PRE ACTION,pre action,a-1,storage stor,Junk
45,action pre,1910451546,SEA 140 - EMPIRE,1910451546:6385093,PRE-ACTION,pre action,a-1,storage stor,Junk
47,activity,-970952287,WELLS FARGO NORTH PHOENIX RESTACK,-970952287:3311908,ACTIVITY,activity,a-1,storage stor,Junk
54,activity,-2061083730,DTSS,-2061083730:3466720,ACTIVITY ROOM,activity room,a-1,storage stor,Junk
55,activity,-970952287,WELLS FARGO NORTH PHOENIX RESTACK,-970952287:3004395,ACTIVITY,activity,a-1,storage stor,Junk
56,activity,-2022551672,DTSS,-2022551672:3466720,ACTIVITY ROOM,activity room,a-1,storage stor,Junk
61,ada,2070452309,LINN BENTON LINCOLN ESD,2070452309:2901121,ADA WC,ada wc,a1,restroom restrooms toilet toilets,Restroom
63,ada,2070452309,LINN BENTON LINCOLN ESD,2070452309:2901118,ADA WC,ada wc,a1,restroom restrooms toilet toilets,Restroom
64,ada,2070452309,LINN BENTON LINCOLN ESD,2070452309:2901115,ADA WC,ada wc,a1,restroom restrooms toilet toilets,Restroom
65,ada changing,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23302043,ADA CHANGING,ada changing,a1,restroom restrooms toilet toilets,Restroom
66,ada changing,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:13736519,ADA CHANGING,ada changing,a1,restroom restrooms toilet toilets,Restroom
67,ada fitness,1774389068,"REPO (Real Estate Portfolio Office, Inc.)",1774389068:3551134,FITNESS ADA RR,fitness ada rr,a1,restroom restrooms toilet toilets,Restroom
68,ada fitness,311705076,"REPO (Real Estate Portfolio Office, Inc.)",311705076:3551134,FITNESS ADA RR,fitness ada rr,a1,restroom restrooms toilet toilets,Restroom
69,ada fitness,675219469,"REPO (Real Estate Portfolio Office, Inc.)",675219469:3551134,FITNESS ADA RR,fitness ada rr,a1,restroom restrooms toilet toilets,Restroom
70,ada shower,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23302057,ADA SHOWER,ada shower,a1,restroom restrooms toilet toilets,Restroom
71,ada shower,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:13867753,ADA SHOWER,ada shower,a1,restroom restrooms toilet toilets,Restroom
72,ada toilet access,2070452309,LINN BENTON LINCOLN ESD,2070452309:2901112,ADA TOILET ROOM ACCESS,ada toilet room access,a1,restroom restrooms toilet toilets,Restroom
73,admin,2102479884,USAA CO3E RENOVATION,2102479884:1876308,ADMIN,admin,a-1,storage stor,Junk
74,admin,2102479884,USAA CO3E RENOVATION,2102479884:1876310,ADMIN,admin,a-1,storage stor,Junk
75,admin,2081869010,USAA CO3E RENOVATION,2081869010:1876309,ADMIN,admin,a-1,storage stor,Junk
76,admin,194731251,USAA CO3E RENOVATION,194731251:1876309,ADMIN,admin,a-1,storage stor,Junk
77,admin,194731251,USAA CO3E RENOVATION,194731251:1875996,ADMIN,admin,a-1,storage stor,Junk
78,admin,-352043833,USAA CO3E RENOVATION,-352043833:1876309,ADMIN,admin,a-1,storage stor,Junk
79,admin,-1060345763,USAA CO3E RENOVATION,-1060345763:1876310,ADMIN,admin,a-1,storage stor,Junk
80,admin,-1060345763,USAA CO3E RENOVATION,-1060345763:1875996,ADMIN,admin,a-1,storage stor,Junk
81,admin,2081869010,USAA CO3E RENOVATION,2081869010:1876308,ADMIN,admin,a-1,storage stor,Junk
82,admin,-352043833,USAA CO3E RENOVATION,-352043833:1876310,ADMIN,admin,a-1,storage stor,Junk
83,admin,1489367405,Zoll Data Systems,1489367405:3866856,ADMIN,admin,a-1,storage stor,Junk
84,admin,2102479884,USAA CO3E RENOVATION,2102479884:1875996,ADMIN,admin,a-1,storage stor,Junk
85,admin,515742391,Cincinnati Marriott Hotel at River Center,515742391:2209286,ADMIN AREA,admin area,a-1,storage stor,Junk
86,admin,2102479884,USAA CO3E RENOVATION,2102479884:1876309,ADMIN,admin,a-1,storage stor,Junk
87,admin,-1060345763,USAA CO3E RENOVATION,-1060345763:1876308,ADMIN,admin,a-1,storage stor,Junk
88,admin,-1060345763,USAA CO3E RENOVATION,-1060345763:1876309,ADMIN,admin,a-1,storage stor,Junk
89,admin,194731251,USAA CO3E RENOVATION,194731251:1876310,ADMIN,admin,a-1,storage stor,Junk
90,admin,-352043833,USAA CO3E RENOVATION,-352043833:1875996,ADMIN,admin,a-1,storage stor,Junk
91,admin,194731251,USAA CO3E RENOVATION,194731251:1876308,ADMIN,admin,a-1,storage stor,Junk
92,admin,-352043833,USAA CO3E RENOVATION,-352043833:1876308,ADMIN,admin,a-1,storage stor,Junk
93,admin,515742391,Cincinnati Marriott Hotel at River Center,515742391:4924495,ADMIN AREA,admin area,a-1,storage stor,Junk
94,admin,2081869010,USAA CO3E RENOVATION,2081869010:1875996,ADMIN,admin,a-1,storage stor,Junk
95,admin,947304454,AGUA FRIA UNION DISTRICT OFFICE,947304454:3164800,CTE ADMIN,cte admin,a-1,storage stor,Junk
96,admin,2081869010,USAA CO3E RENOVATION,2081869010:1876310,ADMIN,admin,a-1,storage stor,Junk
97,admin,515742391,Cincinnati Marriott Hotel at River Center,515742391:1758685,ADMIN AREA,admin area,a-1,storage stor,Junk
98,admin break,736638996,JAYHAWK - NORTH BUILDING,736638996:2057967,ADMIN / BREAK,admin   break,a-1,storage stor,Junk
99,admin break,-327458645,JAYHAWK - NORTH BUILDING,-327458645:2057967,ADMIN / BREAK,admin   break,a-1,storage stor,Junk
100,admin open office,-970952287,WELLS FARGO NORTH PHOENIX RESTACK,-970952287:3311745,EAST ADMIN OPEN OFFICE,east admin open office,a23,office desks desk,Junk
101,admin open office,-970952287,WELLS FARGO NORTH PHOENIX RESTACK,-970952287:3652840,WEST ADMIN OPEN OFFICE,west admin open office,a23,office desks desk,Junk
102,admin open office,-970952287,WELLS FARGO NORTH PHOENIX RESTACK,-970952287:3319655,NORTH ADMIN OPEN OFFICE,north admin open office,a23,office desks desk,Junk
103,admin open office,49956167,WELLS FARGO NORTH PHOENIX RESTACK,49956167:4156117,ADMIN OPEN OFFICE,admin open office,a23,office desks desk,Junk
104,admin open office,49956167,WELLS FARGO NORTH PHOENIX RESTACK,49956167:4279988,ADMIN OPEN OFFICE,admin open office,a23,office desks desk,Junk
105,admin services,1492662939,STUDENT SERVICES COMPLEX,1492662939:4413761,VP ADMIN SERVICES,vp admin services,a25,services corp service,Junk
106,air,-170983648,USAA COLORADO SPRINGS INTERIORS PROJECT,-170983648:2263876,AIR SCREEN,air screen,a-1,storage stor,Junk
107,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6716182,AIR HANDLER,air handler,a-1,storage stor,Junk
108,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6718355,AIR HANDLER,air handler,a-1,storage stor,Junk
109,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504148,AIR HANDLER,air handler,a-1,storage stor,Junk
110,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504175,AIR HANDLER,air handler,a-1,storage stor,Junk
111,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504184,AIR HANDLER,air handler,a-1,storage stor,Junk
112,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6718376,AIR HANDLER,air handler,a-1,storage stor,Junk
113,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504130,AIR HANDLER,air handler,a-1,storage stor,Junk
114,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504211,AIR HANDLER,air handler,a-1,storage stor,Junk
115,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6717844,AIR HANDLER,air handler,a-1,storage stor,Junk
116,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504139,AIR HANDLER,air handler,a-1,storage stor,Junk
117,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6718397,AIR HANDLER,air handler,a-1,storage stor,Junk
118,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6718333,AIR HANDLER,air handler,a-1,storage stor,Junk
119,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504166,AIR HANDLER,air handler,a-1,storage stor,Junk
120,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6718418,AIR HANDLER,air handler,a-1,storage stor,Junk
121,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504193,AIR HANDLER,air handler,a-1,storage stor,Junk
122,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504157,AIR HANDLER,air handler,a-1,storage stor,Junk
123,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504202,AIR HANDLER,air handler,a-1,storage stor,Junk
124,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:6717571,AIR HANDLER,air handler,a-1,storage stor,Junk
125,air handler,-1790933234,1490 CURTIS STREET REPOSITIONING,-1790933234:2504121,AIR HANDLER,air handler,a-1,storage stor,Junk
126,alcove,-1001064926,BENNINGTON SCHOOL DISTRICT OFFICE 2ND FLOOR FIT-OUT,-1001064926:3463898,ALCOVE,alcove,a-1,storage stor,Junk
127,alcove,-1001064926,BENNINGTON SCHOOL DISTRICT OFFICE 2ND FLOOR FIT-OUT,-1001064926:3464093,ALCOVE,alcove,a-1,storage stor,Junk
128,alcove,1428143106,CORVALLIS SD - GENDER INCLUSIVE STUDY,1428143106:3092663,WASHBASIN ALCOVE,washbasin alcove,a-1,storage stor,Junk
129,alcove,-1642606681,LINCOLN HEALTH CENTER,-1642606681:2548970,ALCOVE,alcove,a-1,storage stor,Junk
130,alcove,1428143106,CORVALLIS SD - GENDER INCLUSIVE STUDY,1428143106:3117186,WASHBASIN ALCOVE,washbasin alcove,a-1,storage stor,Junk
131,alcove,-1001064926,BENNINGTON SCHOOL DISTRICT OFFICE 2ND FLOOR FIT-OUT,-1001064926:3469081,ALCOVE,alcove,a-1,storage stor,Junk
132,alcove,-1001064926,BENNINGTON SCHOOL DISTRICT OFFICE 2ND FLOOR FIT-OUT,-1001064926:3733194,ALCOVE,alcove,a-1,storage stor,Junk
133,alcove,-1001064926,BENNINGTON SCHOOL DISTRICT OFFICE 2ND FLOOR FIT-OUT,-1001064926:3552806,ALCOVE,alcove,a-1,storage stor,Junk
134,alcove,515742391,Cincinnati Marriott Hotel at River Center,515742391:2889862,ALCOVE,alcove,a-1,storage stor,Junk
135,alcove,-1642606681,LINCOLN HEALTH CENTER,-1642606681:2549023,ALCOVE,alcove,a-1,storage stor,Junk
136,alcove wash,1428143106,CORVALLIS SD - GENDER INCLUSIVE STUDY,1428143106:3011619,WASH BASIN ALCOVE,wash basin alcove,a6,laundry wash,laundry wash
137,alcove wash,1428143106,CORVALLIS SD - GENDER INCLUSIVE STUDY,1428143106:3116982,WASH BASIN ALCOVE,wash basin alcove,a6,laundry wash,laundry wash
138,all gender,324661123,SEA 140 - EMPIRE,324661123:5694112,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
139,all gender,1910451546,SEA 140 - EMPIRE,1910451546:5703674,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
140,all gender,1910451546,SEA 140 - EMPIRE,1910451546:5694112,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
141,all gender,324661123,SEA 140 - EMPIRE,324661123:4600476,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
142,all gender,1910451546,SEA 140 - EMPIRE,1910451546:6382341,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
143,all gender,324661123,SEA 140 - EMPIRE,324661123:5703674,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
144,all gender,324661123,SEA 140 - EMPIRE,324661123:6382341,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
145,all gender,1910451546,SEA 140 - EMPIRE,1910451546:4600476,ALL GENDER,all gender,a1,restroom restrooms toilet toilets,Restroom
146,all gender locker,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:10394725,ALL-GENDER LOCKER ROOM,all gender locker room,a-1,storage stor,Junk
147,all gender locker,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23302027,ALL-GENDER LOCKER ROOM,all gender locker room,a-1,storage stor,Junk
148,all user,-287322481,BLOCK 38,-287322481:6666791,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
149,all user,1274885439,GOOGLE BUILDING E,1274885439:5887670,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
150,all user,-287322481,BLOCK 38,-287322481:8534686,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
151,all user,-287322481,BLOCK 38,-287322481:5416541,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
152,all user,-287322481,BLOCK 38,-287322481:5416708,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
153,all user,-287322481,BLOCK 38,-287322481:13986043,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
154,all user,-287322481,BLOCK 38,-287322481:15098918,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
155,all user,1274885439,GOOGLE BUILDING E,1274885439:5685263,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
156,all user,-287322481,BLOCK 38,-287322481:14893760,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
157,all user,1274885439,GOOGLE BUILDING E,1274885439:5682261,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
158,all user,-287322481,BLOCK 38,-287322481:15098915,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
159,all user,-287322481,BLOCK 38,-287322481:14166302,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
160,all user,-287322481,BLOCK 38,-287322481:14893353,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
161,all user,-287322481,BLOCK 38,-287322481:7333398,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
162,all user,1274885439,GOOGLE BUILDING E,1274885439:5880008,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
163,all user,1274885439,GOOGLE BUILDING E,1274885439:5682259,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
164,all user,1274885439,GOOGLE BUILDING E,1274885439:5887671,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
165,all user,-287322481,BLOCK 38,-287322481:7000509,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
166,all user,-287322481,BLOCK 38,-287322481:7328961,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
167,all user,1274885439,GOOGLE BUILDING E,1274885439:5685265,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
168,all user,-287322481,BLOCK 38,-287322481:7360752,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
169,all user,-287322481,BLOCK 38,-287322481:7350046,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
170,all user,-287322481,BLOCK 38,-287322481:14896991,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
171,all user,-287322481,BLOCK 38,-287322481:7369683,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
172,all user,-287322481,BLOCK 38,-287322481:7343403,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
173,all user,1274885439,GOOGLE BUILDING E,1274885439:5626926,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
174,all user,-287322481,BLOCK 38,-287322481:7330542,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
175,all user,-287322481,BLOCK 38,-287322481:14896890,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
176,all user,-287322481,BLOCK 38,-287322481:7346286,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
177,all user,-287322481,BLOCK 38,-287322481:5416411,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
178,all user,1274885439,GOOGLE BUILDING E,1274885439:5682257,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
179,all user,1274885439,GOOGLE BUILDING E,1274885439:5887669,ALL USER,all user,a1,restroom restrooms toilet toilets,Restroom
180,all user,-287322481,BLOCK 38,-287322481:5396472,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
181,all user,-287322481,BLOCK 38,-287322481:5334304,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
182,all user,-287322481,BLOCK 38,-287322481:5416365,ALL USER RR,all user rr,a1,restroom restrooms toilet toilets,Restroom
183,all user locker,-287322481,BLOCK 38,-287322481:10043811,ALL USER LOCKER,all user locker,a1,restroom restrooms toilet toilets,Restroom
184,all user locker,-287322481,BLOCK 38,-287322481:10043805,ALL USER LOCKER,all user locker,a1,restroom restrooms toilet toilets,Restroom
185,all user locker,-287322481,BLOCK 38,-287322481:10043799,ALL USER LOCKER,all user locker,a1,restroom restrooms toilet toilets,Restroom
186,all user locker,-287322481,BLOCK 38,-287322481:10043808,ALL USER LOCKER,all user locker,a1,restroom restrooms toilet toilets,Restroom
187,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:8103203,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
188,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23299364,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
189,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23299363,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
190,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:5177823,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
191,all user restroom,-1476732928,GOOGLE KIRKLAND CLASSIC,-1476732928:5703093,ALL USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
192,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23292956,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
193,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:4607267,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
194,all user restroom,1529473299,KU South,1529473299:8204072,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
195,all user restroom,-1476732928,GOOGLE KIRKLAND CLASSIC,-1476732928:5703092,ALL USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
196,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:4607264,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
197,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:5177568,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
198,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23295791,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
199,all user restroom,1275632693,THE PORTLAND BUILDING RECONSTRUCTION PROJECT,1275632693:23292961,ALL-USER RESTROOM,all user restroom,a1,restroom restrooms toilet toilets,Restroom
200,all user shower,1274885439,GOOGLE BUILDING E,1274885439:5685269,ALL USER SHOWER,all user shower,a1,restroom restrooms toilet toilets,Restroom
201,all user shower,1274885439,GOOGLE BUILDING E,1274885439:5626916,ALL USER SHOWER,all user shower,a1,restroom restrooms toilet toilets,Restroom
202,all user shower,1274885439,GOOGLE BUILDING E,1274885439:5887672,ALL USER SHOWER,all user shower,a1,restroom restrooms toilet toilets,Restroom
203,all user shower,1274885439,GOOGLE BUILDING E,1274885439:5880010,ALL USER SHOWER,all user shower,a1,restroom restrooms toilet toilets,Restroom
